sample_id,drug_name,category,form,manufacturer,batch_number,expiry_date,price,distribution_channel,manufacturing_country,active_ingredient_pct,impurity_level,dissolution_rate,ph_level,spectral_diff,barcode_valid,hologram_quality,print_quality,package_seal_quality,label_text_errors,weight_variation_pct,is_fake
MED000055,Azastatin,Antipsychotic,Gel,Novartis,67016827,07/2027,27.01,Online Pharmacy (Unverified),USA,59.18944736856752,5.111004516079813,93.94816994349222,8.150367293731687,23.562108230323105,True,6.1,8.7,5.6,1.0,0.1027593237550617,True
MED000056,Rifoxacin 19,Hormone,Cream,Bayer,U844340,04/2026,124.26,Online Pharmacy (Unverified),Germany,105.49119083767793,0.3014623849131254,84.58261239420158,6.428872790565669,1.1985768911455321,True,7.5,9.8,8.7,0.0,1.100641308835412,False
MED000057,Amolol®,Antidiabetic,Injection,Takeda,M334039,02/2026,81.1,Direct from Distributor,USA,104.3970717717965,0.7816445820781703,92.63941154979757,6.2590018495189135,3.18016057230135,True,9.4,8.9,9.1,0.0,0.02072469631770818,False
MED000058,Cefpril 98,Cardiovascular,Gel,Boehringer Ingelheim,E024259,05/2026,131.12,Direct from Distributor,India,99.2962295459903,1.1009230010413553,86.78638132820703,6.430148269062814,2.066682466412921,True,9.6,9.8,9.7,0.0,0.5646123750440194,False
MED000059,Valformin,Painkiller,Syrup,GlaxoSmithKline,57376324,06/2026,140.26,Hospital Pharmacy,Germany,100.67518632281543,0.3508061423375958,88.74053958643981,7.171129816418291,2.9382090047590976,False,9.3,9.5,9.5,0.0,0.8385742950756327,False
MED000060,Tamtidine®,Antipsychotic,Cream,Amgen,G0818826,03/2028,97.72,Direct from Distributor,China,99.26217612329233,0.7608526979520439,97.54410517160284,6.9448433657927815,0.6178469506114355,True,8.0,8.0,8.8,0.0,0.7349004764165379,False
MED000061,Hydrotidine®,Painkiller,Cream,Amgen,H24602,06/2028,131.8,Hospital Pharmacy,China,88.50942994236289,0.12051093599639079,81.51369913064156,7.122628624517523,2.3489488451379033,True,8.5,9.3,8.9,0.0,0.03270168988190425,False
MED000062,Azadronate 93,Cardiovascular,Tablet,Bristol-Myers Squibb,T662551,03/2034,49.59,Official Pharmacy,China,98.00640435215831,0.4247036489470919,89.37419267891683,6.925019457551276,2.771131323679015,True,9.5,10.0,9.8,0.0,0.008273613894380694,False
MED000063,Paraformin,Antihistamine,Cream,GlaxoSmithKline,N383649,12/2027,43.11,Online Pharmacy (Verified),USA,94.98646000828727,0.168985588052262,92.54936072066916,6.204814031264723,2.0816290287404886,True,8.5,9.0,8.6,0.0,-0.23034757643599668,False
MED000064,Benztidine®,Antipsychotic,Gel,Abbott,455421604,07/2030,73.85,Official Pharmacy,UK,94.4715650591589,0.6361331630856718,89.76914900554108,7.202446274485153,0.6769787898936199,True,8.6,9.2,8.9,0.0,-0.1468574165658083,False
MED000065,Neotidine 98,Antibiotic,Capsule,Boehringer Ingelheim,7890434,09/2026,37.62,Hospital Pharmacy,India,104.11389261276607,0.43696799924945956,83.20847550769506,6.7121976891030215,1.8298648171586864,False,8.9,9.4,9.6,0.0,-0.20806616191079796,False
MED000066,Zpugaewz,Painkiller,Gel,GlaxoSmithKline,202310073,12/2028,99.54,Official Pharmacy,Switzerland,94.37208154649856,0.3004428728955175,86.24172876645022,6.94344699688998,4.363071350185361,True,8.3,9.9,9.7,2.0,1.1441584709870627,False
MED000067,Isovastatin,Antipsychotic,Syrup,Abbott,2757942,09/2027,104.95,Hospital Pharmacy,Germany,99.7125742459944,0.811130330122024,94.24249398614548,7.975089500654695,0.0,True,8.0,10.0,8.9,0.0,1.408028676130264,False
MED000068,Methoxacin,Cardiovascular,Gel,Abbott,442270385,07/2026,57.2,Direct from Distributor,India,98.53445967199598,0.14278227709014657,92.65165653281143,6.417420403977983,0.0,True,8.9,9.8,10.0,0.0,0.7310700097716855,False
MED000069,Txlrcaask,Painkiller,Tablet,Eli Lilly,N6587716,08/2028,128.4,Online Pharmacy (Verified),Switzerland,95.73786036268409,1.1230102592925948,85.92623929972895,7.1420775620253005,1.0128902192244729,True,9.2,9.1,9.1,0.0,0.7880527875443288,False
MED000070,Klmlnbs,Antidiabetic,Injection,Pfizer,097284668,02/2027,111.25,Official Pharmacy,Germany,101.01219329100505,0.6801044486288643,99.91503302275468,7.682875500984183,2.7715660207297548,True,7.3,9.6,8.1,0.0,0.857859998991005,False
MED000071,Isovastatin®,Antihistamine,Injection,Roche,M42463,01/2027,128.62,Online Pharmacy (Unverified),UK,108.79262299299782,0.7958450626651803,91.11599412999217,7.192514978376579,0.7051497299285909,True,8.5,9.8,9.8,0.0,0.3885724359119429,False
MED000072,Zolcillin,Hormone,Injection,Abbott,55532955,03/2026,111.56,Direct from Distributor,India,93.58008770862237,0.8853000752543326,95.66947780230953,6.90701985155884,1.8962012359312468,True,7.6,8.2,8.6,1.0,0.21296726252205717,False
MED000073,Ydjixc,Hormone,Injection,Roche,K33972,07/2028,44.18,Official Pharmacy,China,108.49652570330419,0.7618683318638098,87.56164783616259,7.514812761991299,2.2843071468950384,True,8.5,7.1,9.5,0.0,0.4110054908298496,False
MED000074,Fluolol,Hormone,Injection,Novartis,12318950,05/2025,42.6,Online Pharmacy (Unverified),USA,97.60319266661014,0.0,99.25835807859748,7.377511318704539,0.10904869489022229,True,9.8,7.6,9.1,0.0,-0.3651030963007271,False
MED000075,Methstatin®,Painkiller,Tablet,AstraZeneca,Z5965127,02/2031,39.7,Hospital Pharmacy,USA,112.97518690318977,0.011668744093704553,85.56918173635974,8.17648101010912,2.1182243681885655,True,9.0,8.8,10.0,0.0,0.5298565468870406,False
MED000076,Tpyvsqd 23®,Antihistamine,Capsule,GlaxoSmithKline,Q1602141,02/2028,108.99,Online Pharmacy (Verified),China,78.22097946905866,4.513023537902923,89.5413108889554,6.960715306388867,10.979011716215457,False,4.0,4.7,6.6,2.0,-1.6512275474428249,True
MED000077,Neooxacin,Antihistamine,Capsule,Pfizer,W28987,05/2027,139.04,Street Vendor,UK,98.40404351888272,0.19957438059187738,95.77176975674483,5.874823385723921,2.3349557772436156,True,8.3,9.2,8.7,0.0,1.5028067857235712,False
MED000078,Benztidine,Antidiabetic,Injection,Amgen,K6121902,08/2028,62.82,Official Pharmacy,China,99.65568465678302,0.36847020387359475,80.14756045054503,7.394852383482502,0.8310520632692313,True,10.0,8.2,9.0,0.0,0.4151875464829369,False
MED000079,Pygmuzgnz,Antipsychotic,Capsule,Amgen,180857,04/2027,42.21,Online Pharmacy (Verified),Japan,87.35672768928053,0.9076917525543706,96.86842147826255,6.686859758158597,1.9652649039478989,True,6.8,9.3,9.0,0.0,0.2971115911027289,False
MED000080,Sulftidine,Antihistamine,Syrup,Pfizer,J3551140,11/2026,54.67,Official Pharmacy,Japan,65.88751494032272,3.693065871415593,51.710165854309416,3.439749080401479,8.166682213279143,False,3.1,5.7,7.0,5.0,4.5533924717942185,True
MED000081,Gnmhirzb 41®,Antidiabetic,Capsule,Merck,C7220799,05/2028,70.38,Online Pharmacy (Unverified),Switzerland,47.66411892258504,5.3623634841081165,78.73537577940536,4.581050219743413,24.030176082722946,True,3.4,2.8,3.7,5.0,-4.882588628628139,True
MED000082,Methzole®,Hormone,Gel,Boehringer Ingelheim,H5123836,11/2027,157.72,Direct from Distributor,India,107.11586307912937,0.07438576948041004,91.51156965144756,7.559735674322886,2.2935801855245566,True,8.0,9.1,8.8,0.0,0.7952880483822411,False
MED000083,Ddfslvg,Painkiller,Cream,Sanofi,174465,11/2028,125.55,Official Pharmacy,UK,97.87940098468643,0.20373878371526516,89.0591027305729,6.453466005055018,1.9183632769243626,True,8.7,8.6,8.2,0.0,0.21222063788883988,False
MED000084,Benzformin 96,Painkiller,Injection,Bayer,P0335597,02/2027,22.84,Official Pharmacy,Switzerland,96.55367882563328,0.32030223240796807,88.62121724162357,8.13476888243472,0.0,True,7.5,9.6,8.1,0.0,-0.06206307303613967,False
MED000085,Igamyq 37®,Antihistamine,Gel,Amgen,635982,05/2026,25.49,Unknown Source,USA,77.80965124785314,3.2970293529101715,63.865121652436045,6.246539221764438,17.574731005112362,True,6.7,10.0,1.3,1.0,2.8133163480236583,False
MED000086,Mouvuke,Antidiabetic,Cream,Roche,F814536,01/2027,53.78,Street Vendor,USA,104.87335203911196,0.5286605560773069,90.32357872163668,6.388012406835496,2.4568532391466915,True,7.1,7.9,8.8,0.0,0.07201919403620682,False
MED000087,Oxydipine®,Painkiller,Cream,Boehringer Ingelheim,669981498,09/2030,27.98,Street Vendor,USA,89.63709174445383,5.00913508588591,100.0,3.417655465294711,0.0,False,2.5,5.8,3.7,3.0,1.4444869853262372,True
MED000088,Vcpwklj,Antihistamine,Injection,Sanofi,1268297,04/2024,56.94,Street Vendor,USA,58.0510502435088,2.9278708289688247,84.97209440894689,7.151577221270543,0.0,False,3.8,4.0,3.1,3.0,-2.3199666582340663,True
MED000089,Zololol 40,Antipsychotic,Ointment,Sanofi,H5781049,12/2027,69.55,Hospital Pharmacy,UK,111.6848985400265,0.6599791782690526,80.62856032714785,6.287228266646982,2.998826082007107,True,9.5,9.1,9.0,0.0,1.2098467681907548,False
MED000090,Sulftidine 45®,Antibiotic,Tablet,AstraZeneca,N035173,02/2026,18.12,Unknown Source,China,75.98034776274855,2.1685434921792877,65.40422970045245,5.292811249853849,20.920629883011756,False,5.4,9.8,8.7,3.0,5.7037290486999375,True
MED000091,Rifdipine,Antiviral,Ointment,Takeda,Z066579,12/2026,49.58,Direct from Distributor,Japan,104.59510649774823,0.1976814200005823,87.72256637933535,6.01417976852537,4.264485425335205,True,10.0,10.0,8.7,0.0,0.26289233905429416,False
MED000092,Methdronate 10,Antipsychotic,Capsule,Amgen,A05698,01/2028,78.75,Official Pharmacy,Japan,93.33998723593955,0.9756015418657569,94.93880283334673,6.287025859940793,3.3774924408131923,True,7.9,8.8,8.7,0.0,-0.1859661650326887,False
MED000093,Ybjxrmew,Antipsychotic,Ointment,Abbott,845812,03/2026,82.41,Direct from Distributor,USA,97.61219683842494,0.6584695899509803,96.24002701947465,7.268778100600091,1.4604540759964695,True,10.0,9.6,9.5,0.0,0.8439337817770745,False
MED000094,Oxyzole,Antiviral,Syrup,Bristol-Myers Squibb,C1678116,03/2026,80.42,Online Pharmacy (Unverified),Brazil,90.16762755071294,0.5754512074478567,84.75201374255364,7.869180925118386,0.4216477767375859,True,6.1,9.6,8.7,0.0,0.6452714242548949,False
MED000095,Rifformin 5®,Cardiovascular,Ointment,Pfizer,D05970,02/2024,91.35,Official Pharmacy,India,103.79676203594848,0.5445629193913775,96.75803489508506,6.352820331344184,1.2340905360099996,True,8.6,8.7,8.0,0.0,0.14896306869633996,False
MED000096,Rifsartan,Antihistamine,Ointment,Bristol-Myers Squibb,1854697,12/2028,143.54,Online Pharmacy (Unverified),Japan,98.8976040535091,0.053450377039938546,82.77512549389586,7.021020946168779,1.2652483644422063,True,7.4,7.9,9.4,0.0,0.7587568114063588,False
MED000097,Dexsartan,Antiviral,Tablet,Boehringer Ingelheim,4617302,01/2032,20.16,Hospital Pharmacy,USA,99.07427203971156,0.4640282952605209,92.8883459081121,6.18491039407379,1.305031916866477,True,8.5,8.5,9.8,0.0,0.8536287401376407,False
MED000098,Neodipine 55®,Antibiotic,Syrup,Amgen,V9923221,09/2026,13.61,Direct from Distributor,China,104.44271842900056,3.5167916158930947,66.25167648281115,4.7909481510897685,30.327660367262443,True,6.5,1.8,4.1,7.0,0.1768612543395931,False
MED000099,Amzole®,Antihistamine,Ointment,Bristol-Myers Squibb,95937575,01/2024,25.19,Direct from Distributor,USA,103.16364405578275,0.5234369309289278,91.4445250217613,5.566729770585489,0.2422369388711949,True,8.6,9.2,9.4,0.0,-0.09034752110327737,False
MED000100,Fluvastatin,Antiviral,Injection,AstraZeneca,U219566,02/2026,78.35,Street Vendor,India,88.79861057931758,0.6367028106347634,38.975724550336494,10.118847944268548,16.912798773046877,True,1.4,8.3,4.8,2.0,6.696397170634149,False
MED000101,Lavlyqp,Antiviral,Capsule,Merck,Y1960570,09/2028,139.51,Official Pharmacy,Switzerland,104.13778325739884,0.7438214411705324,87.48231476405613,6.735549681753485,3.074266628621741,True,8.4,9.8,8.7,0.0,0.9893289133054908,False
MED000102,Bksgbfrb,Antibiotic,Ointment,Pfizer,W2996665,04/2028,120.93,Online Pharmacy (Unverified),China,95.5740222014368,0.7326670621203333,97.97416022191558,7.875219574264438,1.400395958471232,True,7.2,7.7,8.9,2.0,0.3458006527021613,False
MED000103,Azaoxacin,Hormone,Tablet,Bristol-Myers Squibb,866748566,09/2028,112.46,Hospital Pharmacy,UK,98.97798073094114,0.935947754126628,88.55155455136604,5.759600018334093,1.4700930396079428,True,8.6,8.4,8.7,0.0,-0.3281821453037952,False
MED000104,Wjsqdjx,Antidiabetic,Injection,Sanofi,P5565352,11/2026,55.39,Online Pharmacy (Unverified),Germany,90.10575235223487,0.5808062293300948,97.64506275102711,7.244555075371047,0.9387376874547546,True,8.5,9.0,9.3,0.0,-0.2959178374734778,False
MED000105,Dexcillin,Hormone,Tablet,Roche,A72178,10/2028,75.85,Online Pharmacy (Verified),USA,59.845165460149545,5.31680506726156,73.47690679654055,5.070090790559692,17.907012576908002,True,4.3,4.8,7.0,3.0,4.568898303012731,True
MED000106,Ketoprazole 27®,Hormone,Cream,Eli Lilly,H670720,11/2028,35.7,Hospital Pharmacy,Germany,101.49208251680241,0.1359642899204273,90.98665369927073,6.28694807889436,3.2114171250811565,True,8.7,8.3,9.8,0.0,0.15795548577936913,False
MED000107,Paraolol 8,Hormone,Ointment,Boehringer Ingelheim,U10795,10/2031,50.11,Official Pharmacy,Switzerland,100.13411854815304,0.8531190557127439,87.99784986926713,6.421999934682684,3.2513669278630326,True,7.0,10.0,9.3,0.0,0.6306375780212672,False
